år;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0114 Upplands Väsby;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,38;19,18;19,18;19,18;19,18;19,18;19,18;19,50;19,52;19,52;19,52;19,42;19,42
0115 Vallentuna;17,68;17,68;17,68;18,68;19,18;19,18;19,18;19,18;18,98;18,98;18,98;18,98;18,98;18,98;18,98;18,98;19,00;19,00;19,00;19,00;19,00
0117 Österåker;18,83;19,53;19,53;20,23;20,23;19,88;19,53;19,43;19,33;19,23;19,23;18,90;18,90;18,65;18,65;18,65;18,17;17,75;17,35;17,10;17,10
0120 Värmdö;19,08;19,58;20,08;20,46;20,46;20,46;20,28;20,28;20,28;20,28;20,28;20,28;20,13;20,08;19,91;19,91;19,88;19,18;19,18;19,18;19,18
0123 Järfälla;18,88;18,88;18,63;19,13;19,13;19,13;19,13;18,98;18,80;18,63;18,63;18,63;18,63;18,98;18,98;18,98;19,15;19,15;19,15;19,15;19,15
0125 Ekerö;18,33;18,33;18,33;19,23;19,23;19,23;19,23;19,23;19,23;19,23;19,23;19,23;19,23;19,23;19,23;19,23;19,25;19,25;19,25;19,25;19,25
0126 Huddinge;19,53;19,53;19,53;20,23;20,23;20,23;20,23;20,10;19,95;19,95;19,95;19,95;19,95;19,95;19,85;19,85;19,87;19,87;19,87;19,87;19,87
0127 Botkyrka;20,38;20,38;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,15;20,15;20,15;20,15;20,15
0128 Salem;19,33;19,33;19,33;19,33;20,13;20,13;19,90;19,90;19,90;19,90;19,90;19,90;19,90;19,90;19,90;19,90;19,67;19,67;19,67;19,67;19,67
0136 Haninge;20,08;19,83;19,58;19,58;19,58;20,08;20,08;20,08;20,08;20,08;20,08;19,78;19,78;19,78;19,78;19,78;19,68;19,68;19,68;19,68;19,68
0138 Tyresö;19,48;19,48;19,63;19,63;19,63;19,63;19,63;19,63;19,48;19,48;19,48;19,48;19,48;19,48;19,48;19,48;19,50;19,50;19,50;19,95;19,95
0139 Upplands-Bro;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,58;19,60;19,60;19,60;19,60;19,60
0140 Nykvarn;19,03;19,03;19,03;19,03;19,95;19,95;19,95;19,95;19,95;19,95;19,95;19,95;19,95;19,95;19,95;19,95;19,97;19,97;19,97;19,97;19,97
0160 Täby;16,93;17,53;17,53;18,28;18,28;18,28;18,03;18,03;17,63;17,63;17,63;17,63;17,63;17,63;17,63;17,63;17,65;17,55;17,55;17,55;17,55
0162 Danderyd;16,18;16,83;17,28;17,86;18,43;18,43;17,86;17,46;17,20;17,20;17,20;17,20;17,35;17,35;17,35;17,35;17,35;17,35;17,35;17,55;18,95
0163 Sollentuna;17,93;17,93;17,93;18,68;18,68;18,68;18,58;18,33;18,20;18,20;18,20;18,20;18,20;18,10;18,10;18,10;18,12;18,12;18,12;18,12;18,12
0180 Stockholm;17,93;17,78;17,58;18,08;18,08;18,08;18,08;17,78;17,58;17,48;17,48;17,48;17,48;17,33;17,33;17,68;17,90;17,90;17,90;17,74;17,74
0181 Södertälje;19,03;19,53;19,53;19,53;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,13;20,15;20,15;20,15;20,15;20,15
0182 Nacka;17,93;17,93;17,93;18,56;18,66;18,66;18,66;18,41;18,26;18,26;18,26;18,26;18,61;18,61;18,61;18,61;18,63;18,53;18,43;18,43;18,43
0183 Sundbyberg;18,38;19,28;19,28;19,28;19,28;19,28;19,28;19,28;19,13;19,03;19,03;19,03;19,03;18,88;18,88;18,88;18,90;18,90;18,90;18,90;18,90
0184 Solna;17,58;17,58;17,58;17,58;17,58;17,58;17,58;17,38;17,12;17,12;17,12;17,12;17,12;17,12;17,12;17,12;17,12;17,12;17,12;17,12;17,12
0186 Lidingö;17,65;18,37;18,37;18,97;18,97;19,37;19,17;18,96;18,86;18,86;18,86;18,62;18,62;18,62;18,62;18,62;18,64;18,64;18,49;18,29;17,99
0187 Vaxholm;19,23;18,98;18,98;19,88;19,88;19,88;19,88;19,88;19,88;19,88;19,88;19,78;19,78;19,78;19,78;19,78;19,78;19,78;19,78;19,78;19,78
0188 Norrtälje;19,63;19,63;19,63;20,12;20,12;20,12;20,42;20,42;20,12;20,12;20,12;20,12;20,12;19,92;19,72;19,72;19,72;19,72;19,72;19,72;19,72
0191 Sigtuna;19,58;19,08;19,38;20,13;20,43;20,33;20,10;20,10;20,10;20,10;19,98;19,98;19,98;19,98;19,98;19,98;20,00;20,00;20,00;20,00;20,00
0192 Nynäshamn;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,83;19,85;19,85;19,85;19,85;19,85
